regime,policy,episode,total_return,service_level,avg_on_hand,holding_cost,penalty_cost
stationary,q_learning,4,2405.0000,0.9822,9.7308,506.0000,45.0000
stationary,q_learning,5,2413.0000,0.9860,9.3077,484.0000,35.0000
stationary,q_learning,6,2686.0000,0.9981,8.9038,463.0000,5.0000
stationary,q_learning,7,2591.0000,0.9811,8.5962,447.0000,50.0000
stationary,q_learning,8,2664.0000,0.9961,8.6154,448.0000,10.0000
stationary,q_learning,9,2402.0000,1.0000,10.0769,524.0000,0.0000
stationary,q_learning,10,2765.0000,0.9800,7.6923,400.0000,55.0000
stationary,q_learning,11,2599.0000,1.0000,9.2500,481.0000,0.0000
stationary,q_learning,12,2630.0000,0.9775,8.7692,456.0000,60.0000
stationary,q_learning,13,2794.0000,0.9785,7.8462,408.0000,60.0000
stationary,q_learning,14,2681.0000,0.9981,8.8846,462.0000,5.0000
stationary,q_learning,15,2630.0000,0.9850,8.8462,460.0000,40.0000
stationary,q_learning,16,2600.0000,0.9812,9.0000,468.0000,50.0000
stationary,q_learning,17,2472.0000,0.9749,8.9808,467.0000,65.0000
stationary,q_learning,18,2488.0000,1.0000,9.9231,516.0000,0.0000
stationary,q_learning,19,2583.0000,0.9961,9.1346,475.0000,10.0000
stationary,q_learning,20,2716.0000,0.9906,8.4808,441.0000,25.0000
stationary,q_learning,21,2618.0000,0.9923,9.1923,478.0000,20.0000
stationary,q_learning,22,2710.0000,0.9853,8.4615,440.0000,40.0000
stationary,q_learning,23,2601.0000,0.9847,9.1346,475.0000,40.0000
stationary,q_learning,24,2542.0000,0.9865,9.2500,481.0000,35.0000
stationary,q_learning,25,2584.0000,0.9980,9.5577,497.0000,5.0000
stationary,q_learning,26,2443.0000,0.9783,9.5769,498.0000,55.0000
stationary,q_learning,27,2656.0000,0.9760,8.3269,433.0000,65.0000
stationary,q_learning,28,2654.0000,0.9962,9.2692,482.0000,10.0000
stationary,q_learning,29,2331.0000,0.9818,10.0000,520.0000,45.0000
stationary,q_learning,30,2558.0000,0.9921,9.4615,492.0000,20.0000
stationary,q_learning,31,2608.0000,0.9905,8.8654,461.0000,25.0000
stationary,q_learning,32,2646.0000,0.9943,9.0962,473.0000,15.0000
stationary,q_learning,33,2735.0000,0.9944,8.2308,428.0000,15.0000
stationary,q_learning,34,2766.0000,0.9925,8.1923,426.0000,20.0000
stationary,q_learning,35,2567.0000,0.9866,8.8846,462.0000,35.0000
stationary,q_learning,36,2677.0000,0.9797,8.3462,434.0000,55.0000
stationary,q_learning,37,2697.0000,0.9905,8.3846,436.0000,25.0000
stationary,q_learning,38,2783.0000,0.9765,8.0385,418.0000,65.0000
stationary,q_learning,39,2741.0000,0.9962,8.5192,443.0000,10.0000
stationary,q_learning,40,2608.0000,0.9923,8.8462,460.0000,20.0000
stationary,q_learning,41,2631.0000,0.9923,8.8269,459.0000,20.0000
stationary,q_learning,42,2460.0000,0.9804,9.1538,476.0000,50.0000
stationary,q_learning,43,2591.0000,0.9848,9.0192,469.0000,40.0000
stationary,q_learning,44,2642.0000,0.9796,8.7885,457.0000,55.0000
stationary,q_learning,45,2651.0000,0.9886,8.9423,465.0000,30.0000
stationary,q_learning,46,2688.0000,0.9905,8.5577,445.0000,25.0000
stationary,q_learning,47,2800.0000,1.0000,8.6538,450.0000,0.0000
stationary,q_learning,48,2659.0000,0.9942,8.7308,454.0000,15.0000
stationary,q_learning,49,2603.0000,0.9942,9.2308,480.0000,15.0000
stationary,q_learning,50,2514.0000,0.9750,9.2885,483.0000,65.0000
stationary,q_learning,51,2582.0000,0.9923,9.0000,468.0000,20.0000
stationary,q_learning,52,2625.0000,0.9942,8.9231,464.0000,15.0000
stationary,q_learning,53,2640.0000,0.9961,8.9615,466.0000,10.0000
stationary,q_learning,54,2604.0000,0.9981,8.9808,467.0000,5.0000
stationary,q_learning,55,2544.0000,0.9961,9.3462,486.0000,10.0000
stationary,q_learning,56,2735.0000,0.9926,8.1346,423.0000,20.0000
stationary,q_learning,57,2387.0000,0.9880,9.9038,515.0000,30.0000
stationary,q_learning,58,2746.0000,0.9818,7.9231,412.0000,50.0000
stationary,q_learning,59,2553.0000,0.9808,9.2885,483.0000,50.0000
stationary,q_learning,60,2620.0000,0.9832,9.0577,471.0000,45.0000
stationary,q_learning,61,2650.0000,0.9702,8.0000,416.0000,80.0000
stationary,q_learning,62,2395.0000,0.9939,10.1154,526.0000,15.0000
stationary,q_learning,63,2365.0000,0.9819,9.5769,498.0000,45.0000
stationary,q_learning,64,2552.0000,0.9961,9.5000,494.0000,10.0000
stationary,q_learning,65,2755.0000,0.9907,8.1923,426.0000,25.0000
stationary,q_learning,66,2585.0000,0.9961,9.0192,469.0000,10.0000
stationary,q_learning,67,2632.0000,0.9867,8.8654,461.0000,35.0000
stationary,q_learning,68,2656.0000,0.9905,8.8269,459.0000,25.0000
stationary,q_learning,69,2627.0000,0.9904,8.3846,436.0000,25.0000
stationary,q_learning,70,2878.0000,0.9787,7.5769,394.0000,60.0000
stationary,q_learning,71,2475.0000,0.9960,9.4038,489.0000,10.0000
stationary,q_learning,72,2421.0000,0.9959,10.0577,523.0000,10.0000
stationary,q_learning,73,2500.0000,0.9940,9.5192,495.0000,15.0000
stationary,q_learning,74,2498.0000,0.9901,9.6731,503.0000,25.0000
stationary,q_learning,75,2306.0000,0.9877,10.3077,536.0000,30.0000
stationary,q_learning,76,2364.0000,0.9980,10.7115,557.0000,5.0000
stationary,q_learning,77,2256.0000,1.0000,10.8846,566.0000,0.0000
stationary,q_learning,78,2450.0000,0.9805,9.6923,504.0000,50.0000
stationary,q_learning,79,2492.0000,0.9826,9.3269,485.0000,45.0000
stationary,q_learning,80,2674.0000,1.0000,8.6538,450.0000,0.0000
stationary,q_learning,81,2652.0000,0.9796,8.3654,435.0000,55.0000
stationary,q_learning,82,2570.0000,0.9864,9.1731,477.0000,35.0000
stationary,q_learning,83,2875.0000,0.9964,7.3654,383.0000,10.0000
stationary,q_learning,84,2555.0000,0.9922,9.2500,481.0000,20.0000
stationary,q_learning,85,2307.0000,1.0000,10.2885,535.0000,0.0000
stationary,q_learning,86,2338.0000,1.0000,10.5000,546.0000,0.0000
stationary,q_learning,87,2842.0000,0.9769,7.9423,413.0000,65.0000
stationary,q_learning,88,2841.0000,0.9821,7.4808,389.0000,50.0000
stationary,q_learning,89,2421.0000,0.9820,9.6154,500.0000,45.0000
stationary,q_learning,90,2662.0000,0.9887,8.4231,438.0000,30.0000
stationary,q_learning,91,2468.0000,0.9863,9.5192,495.0000,35.0000
stationary,q_learning,92,2404.0000,0.9919,9.5385,496.0000,20.0000
stationary,q_learning,93,2761.0000,0.9908,8.0000,416.0000,25.0000
stationary,q_learning,94,2630.0000,0.9829,8.7115,453.0000,45.0000
stationary,q_learning,95,2421.0000,0.9843,9.9808,519.0000,40.0000
stationary,q_learning,96,2739.0000,0.9981,8.5769,446.0000,5.0000
stationary,q_learning,97,2445.0000,0.9747,9.1538,476.0000,65.0000
stationary,q_learning,98,2731.0000,0.9944,8.7308,454.0000,15.0000
stationary,q_learning,99,2426.0000,1.0000,9.6154,500.0000,0.0000
stationary,ppo,0,2488.0000,0.9323,4.4038,229.0000,175.0000
stationary,ppo,1,2540.0000,0.9772,4.5577,237.0000,55.0000
stationary,ppo,2,2210.0000,0.9145,4.8846,254.0000,210.0000
stationary,ppo,3,2633.0000,0.9235,3.4423,179.0000,210.0000
stationary,ppo,4,2239.0000,0.9030,4.8462,252.0000,245.0000
